question,answer
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 6 flatworms, 10 wasps, 9 shrimps, 6 sea slugs?
",150
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 14 cats, 12 giraffes, 7 birds, 14 fireflys, 11 praying mantiss, 14 ants, 7 sheeps, 13 beetles?
",458
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 4 crabs, 12 woodlouses, 9 grasshoppers, 4 wasps, 1 cow, 10 snakes?
",290
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 4 butterflys, 13 lions, 6 wasps, 9 chickens, 13 sheeps, 4 ants, 15 shrimps, 7 ducks?
",370
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 6 shrimps, 13 bees, 13 grasshoppers, 4 ducks, 1 beetle, 14 butterflys?
",314
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 13 snakes, 14 cockroachs, 11 lobsters, 11 grasshoppers, 12 flatworms?
",260
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 9 lobsters, 6 horses, 14 dogs?
",170
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 5 spiders, 14 crabs, 8 beetles, 1 snake, 6 scorpions, 11 lobsters?
",386
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 4 grasshoppers, 14 deers, 12 praying mantiss, 10 spiders?
",232
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 15 ducks, 10 cockroachs, 6 jellyfishs, 8 scorpions, 14 leechs?
",154
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 9 woodlouses, 9 birds, 5 crabs, 5 humans, 3 deers, 9 cows, 8 cats, 13 lobsters, 3 butterflys?
",432
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 12 woodlouses, 14 dogs, 8 flatworms, 6 jellyfishs, 4 tigers, 14 leechs, 2 ducks?
",244
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 11 lions, 9 leechs, 5 fireflys, 10 chickens?
",94
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 1 spider, 5 cats, 5 praying mantiss, 3 chickens, 13 insects, 3 grasshoppers?
",160
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 11 bees, 5 birds, 6 sheeps, 10 crabs, 7 insects, 7 lobsters, 13 horses, 4 lions, 3 ants?
",398
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 11 snakes, 3 cats, 5 grasshoppers, 7 birds, 11 horses, 15 beetles, 5 butterflys?
",220
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 3 crabs, 10 humans, 2 insects, 2 woodlouses, 3 cockroachs, 7 fireflys?
",150
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 7 fireflys, 1 deer, 1 spider, 15 horses, 1 giraffe, 7 ants, 13 ducks, 1 chicken?
",188
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 15 cows, 7 lions, 15 giraffes, 1 praying mantis, 8 beetles, 6 chickens, 12 deers, 3 birds?
",268
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 1 scorpion, 8 crickets, 6 sheeps, 1 wasp, 12 deers, 3 lobsters, 8 cats, 5 tigers, 9 praying mantiss?
",270
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 8 cows, 12 wasps, 12 insects, 3 butterflys, 8 tigers, 8 woodlouses, 4 praying mantiss, 13 sheeps?
",414
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 8 insects, 14 deers, 4 woodlouses, 5 sheeps, 12 praying mantiss, 5 bees, 11 humans, 11 horses?
",348
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 4 dogs, 9 leechs, 5 deers, 12 ducks, 12 horses, 2 fireflys, 2 jellyfishs?
",120
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 9 chickens, 2 bees, 12 spiders, 10 wasps?
",186
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 5 horses, 4 chickens, 11 birds, 11 dogs, 10 snakes, 7 lobsters?
",164
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 9 humans, 10 bees, 9 ants, 2 flatworms, 3 dogs?
",144
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 7 fireflys, 10 tigers, 8 grasshoppers?
",130
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 3 beetles, 9 leechs, 14 cats, 4 giraffes, 13 deers?
",142
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 2 lions, 3 wasps, 11 starfishs, 12 horses, 1 sea slug, 4 birds?
",137
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 5 scorpions, 13 wasps, 7 spiders, 13 woodlouses?
",356
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 2 starfishs, 14 giraffes, 4 chickens, 2 lions, 12 dogs, 2 cows?
",138
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 10 wasps, 3 cockroachs, 10 sea slugs, 15 crickets, 10 ducks?
",188
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 5 giraffes, 8 scorpions, 6 butterflys, 10 crabs, 10 starfishs, 4 lobsters, 4 cockroachs, 7 praying mantiss?
",376
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 2 jellyfishs, 9 lobsters, 14 cats, 11 starfishs, 7 leechs?
",201
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 15 chickens, 1 spider, 3 snakes?
",38
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 9 dogs, 3 sheeps, 1 horse, 4 scorpions, 13 bees, 2 crabs, 1 ant?
",188
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 7 spiders, 11 humans, 7 dogs, 6 crabs?
",166
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 15 crabs, 14 spiders, 6 sea slugs?
",262
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 7 flatworms, 2 jellyfishs, 2 horses, 12 birds, 13 fireflys, 7 deers, 6 leechs, 13 cockroachs, 9 cats, 11 elephants?
",296
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 14 starfishs, 10 giraffes, 3 jellyfishs, 15 snakes, 14 crickets, 15 lions, 9 tigers, 8 flatworms?
",290
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 5 sheeps, 10 crabs, 10 deers, 3 chickens?
",166
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 10 grasshoppers, 10 woodlouses, 4 birds, 13 giraffes, 10 insects, 12 flatworms, 15 lobsters?
",470
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 4 beetles, 12 giraffes, 15 chickens, 8 crabs?
",182
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 10 humans, 10 horses, 6 giraffes?
",84
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 14 dogs, 12 scorpions, 5 ducks, 15 woodlouses, 7 shrimps, 9 giraffes, 11 bees, 11 spiders?
",632
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 9 beetles, 6 giraffes, 3 crickets, 10 cows, 13 tigers, 15 crabs?
",338
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 1 firefly, 8 sheeps, 6 cats, 3 crabs, 5 birds, 11 crickets, 10 horses, 12 chickens, 12 shrimps?
",352
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 4 scorpions, 6 birds, 8 giraffes, 14 chickens, 11 sea slugs, 3 fireflys?
",122
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 3 sheeps, 15 wasps, 12 praying mantiss?
",174
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 13 horses, 6 lobsters, 11 scorpions?
",200
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 4 ants, 12 woodlouses, 10 grasshoppers, 13 shrimps, 4 cockroachs?
",406
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 10 fireflys, 10 sea slugs, 5 horses, 11 birds, 4 sheeps, 7 lions, 11 cockroachs, 4 tigers, 14 starfishs, 14 scorpions?
",410
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 4 tigers, 9 ducks, 13 ants?
",112
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 2 dogs, 12 elephants, 4 fireflys, 5 birds, 9 beetles, 15 starfishs, 13 scorpions, 13 crabs, 14 grasshoppers?
",537
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 9 flatworms, 4 lobsters, 7 sea slugs, 5 beetles, 1 giraffe, 3 cockroachs, 7 humans, 8 woodlouses, 3 butterflys?
",236
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 1 spider, 15 wasps, 7 crabs, 4 starfishs?
",188
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 15 wasps, 14 lobsters, 4 cockroachs, 5 grasshoppers, 13 flatworms, 5 sea slugs, 12 woodlouses?
",452
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 10 lions, 12 jellyfishs, 4 cows, 2 woodlouses, 2 horses, 4 beetles, 9 ducks, 7 tigers, 14 grasshoppers, 5 flatworms?
",246
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 4 butterflys, 7 beetles, 4 cows, 13 chickens, 15 cockroachs, 11 giraffes, 11 birds, 2 lobsters?
",284
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 7 woodlouses, 3 grasshoppers, 7 lobsters, 4 elephants, 12 giraffes, 4 fireflys, 2 butterflys, 8 wasps?
",334
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 4 scorpions, 13 lobsters, 6 praying mantiss, 11 snakes?
",198
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 10 cats, 12 giraffes, 1 dog, 4 woodlouses, 4 spiders, 7 jellyfishs, 12 ants, 7 shrimps, 2 cockroachs, 4 crickets?
",358
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 5 praying mantiss, 13 lions, 4 spiders, 11 shrimps, 5 insects, 10 horses, 11 tigers, 11 jellyfishs, 14 crickets, 3 wasps?
",440
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 4 insects, 14 cats, 2 snakes, 1 grasshopper, 1 praying mantis, 4 ducks, 8 sea slugs, 9 humans?
",118
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 6 giraffes, 4 butterflys, 3 lions, 11 spiders, 12 leechs, 7 ants?
",190
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 15 ants, 2 sea slugs, 7 ducks, 3 humans, 13 beetles, 14 leechs, 5 bees, 9 cows?
",254
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 13 deers, 3 tigers, 6 shrimps?
",124
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 12 chickens, 5 wasps, 10 praying mantiss, 14 snakes?
",114
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 8 crickets, 9 giraffes, 14 cockroachs, 14 beetles, 15 praying mantiss, 14 cats, 6 insects, 2 jellyfishs, 5 sea slugs?
",434
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 2 cats, 3 sea slugs, 11 elephants?
",52
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 13 shrimps, 14 tigers, 7 chickens, 9 spiders, 5 praying mantiss, 14 grasshoppers, 5 scorpions?
",426
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 8 birds, 3 crickets, 2 deers, 12 wasps, 11 fireflys, 11 insects, 2 chickens, 13 dogs, 5 crabs, 11 ants?
",418
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 11 birds, 14 grasshoppers, 12 wasps, 3 starfishs, 1 praying mantis, 13 shrimps, 8 sheeps, 10 horses, 14 insects, 8 ants?
",533
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 9 ants, 15 jellyfishs, 9 cats, 14 deers, 7 fireflys, 12 dogs?
",236
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 11 wasps, 10 snakes, 2 crabs, 6 chickens?
",98
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 14 cows, 12 praying mantiss, 10 birds?
",148
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 13 grasshoppers, 5 wasps, 2 starfishs, 2 humans, 7 dogs, 4 jellyfishs, 10 spiders, 7 leechs, 7 cockroachs?
",272
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 10 sheeps, 12 lobsters, 8 wasps, 11 beetles?
",274
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 8 tigers, 9 shrimps, 9 giraffes, 10 birds, 11 crickets, 13 woodlouses, 2 fireflys, 13 jellyfishs, 11 deers, 5 bees?
",512
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 4 dogs, 4 shrimps, 5 grasshoppers, 3 birds, 9 crickets, 10 horses, 3 tigers, 3 jellyfishs, 9 fireflys, 15 spiders?
",372
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 4 starfishs, 4 sea slugs, 3 ants, 3 chickens, 8 praying mantiss?
",92
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 7 sea slugs, 4 insects, 14 horses, 1 lobster, 12 elephants, 15 fireflys?
",228
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 4 flatworms, 8 birds, 8 horses, 1 human, 2 starfishs, 10 lobsters, 12 sheeps?
",208
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 9 cows, 8 chickens, 5 sheeps, 5 woodlouses, 13 dogs, 6 tigers, 10 wasps, 2 elephants, 8 ducks, 13 flatworms?
",302
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 12 butterflys, 12 elephants, 12 deers, 3 sheeps, 11 leechs, 6 tigers, 7 wasps, 15 lobsters, 15 grasshoppers?
",486
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 1 giraffe, 8 deers, 3 horses, 4 lions, 2 ducks, 13 leechs, 12 fireflys, 1 shrimp?
",150
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 11 snakes, 10 scorpions, 13 sheeps, 14 shrimps, 1 insect, 9 cockroachs, 6 spiders?
",380
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 1 jellyfish, 11 bees, 8 sheeps, 1 butterfly?
",104
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 1 butterfly, 3 humans, 7 starfishs, 6 dogs, 14 deers, 6 elephants, 10 ducks, 4 wasps?
",195
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 12 ducks, 1 sheep, 11 beetles, 13 crabs, 14 chickens?
",252
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 2 beetles, 13 deers, 11 wasps?
",130
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 4 spiders, 7 woodlouses, 9 deers, 2 insects, 5 cockroachs, 12 grasshoppers, 1 starfish?
",285
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 8 sheeps, 15 snakes, 5 insects, 13 scorpions, 15 leechs, 3 horses, 1 dog, 8 grasshoppers, 6 sea slugs?
",230
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 15 cats, 10 lobsters, 8 scorpions, 12 crickets, 13 lions, 12 insects, 13 deers, 15 humans?
",502
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 7 ducks, 11 flatworms, 9 grasshoppers, 4 leechs, 4 elephants, 4 cats, 2 snakes, 7 crickets, 4 chickens, 11 beetles?
",216
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 7 chickens, 14 cats, 9 butterflys, 9 flatworms, 1 elephant, 15 scorpions, 4 starfishs, 6 ants, 9 cows?
",340
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 5 ants, 8 butterflys, 11 leechs, 9 horses, 9 humans?
",132
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 2 spiders, 11 beetles, 12 jellyfishs, 15 cats, 1 sheep?
",146
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 2 flatworms, 5 crabs, 8 cockroachs, 13 birds, 2 tigers, 10 scorpions, 15 deers?
",272
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 7 sea slugs, 3 ants, 1 elephant, 14 spiders?
",134
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 14 ducks, 15 sea slugs, 15 dogs, 5 lions, 4 praying mantiss, 2 insects, 4 bees?
",168
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 14 sea slugs, 4 jellyfishs, 7 snakes, 9 crickets, 4 cats, 6 lions, 2 tigers?
",102
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 15 leechs, 1 bee, 4 fireflys, 4 cows, 6 giraffes, 13 cats, 5 ants, 12 scorpions, 8 tigers, 4 grasshoppers?
",304
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 13 spiders, 11 leechs, 2 jellyfishs, 9 woodlouses, 4 butterflys, 10 starfishs?
",304
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 8 leechs, 12 crabs, 7 horses, 6 bees, 3 scorpions, 6 sheeps, 9 snakes, 1 chicken?
",234
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 9 crabs, 9 spiders, 3 starfishs, 2 flatworms, 9 fireflys, 5 insects?
",261
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 6 fireflys, 12 wasps, 10 elephants, 2 cows, 13 beetles, 1 giraffe, 11 deers, 8 insects, 10 flatworms?
",330
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 12 birds, 13 sea slugs, 8 ducks, 10 snakes, 6 tigers, 11 cockroachs, 11 insects?
",196
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 12 shrimps, 1 scorpion, 3 chickens, 7 sheeps, 7 crickets, 4 flatworms?
",204
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 7 ants, 15 starfishs, 8 grasshoppers, 12 deers, 11 scorpions, 5 crickets, 4 bees, 8 ducks, 12 shrimps?
",491
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 4 chickens, 4 starfishs, 1 sheep, 6 elephants?
",56
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 12 wasps, 15 dogs, 15 fireflys, 5 lions, 10 cockroachs?
",302
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 13 cockroachs, 13 woodlouses, 10 crickets, 15 grasshoppers, 12 fireflys, 4 bees, 6 leechs, 7 wasps?
",548
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 5 sea slugs, 4 deers, 1 ant, 6 sheeps, 15 birds?
",76
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 9 sheeps, 11 snakes, 15 starfishs, 8 spiders, 9 deers, 5 lobsters, 8 beetles?
",309
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 13 giraffes, 13 chickens, 15 wasps, 15 tigers, 7 lobsters, 14 starfishs, 5 leechs, 5 grasshoppers, 6 elephants?
",422
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 4 lobsters, 5 lions, 2 cows, 14 ducks, 3 crickets, 14 horses, 3 cockroachs, 9 spiders, 2 snakes, 11 sheeps?
",304
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 2 crabs, 13 snakes, 13 bees, 14 grasshoppers, 5 ducks, 2 wasps, 8 praying mantiss, 8 cockroachs, 9 horses?
",336
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 15 giraffes, 11 humans, 2 sheeps, 14 cats, 10 snakes, 4 butterflys, 13 lions?
",222
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 2 lions, 11 horses, 6 bees, 11 humans, 8 woodlouses, 11 spiders?
",310
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 2 spiders, 10 dogs, 8 wasps, 1 flatworm?
",104
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 1 duck, 2 fireflys, 15 beetles?
",104
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 9 beetles, 9 starfishs, 13 ants, 14 chickens, 12 shrimps, 9 crabs, 14 praying mantiss, 14 birds?
",527
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 9 wasps, 10 lobsters, 8 fireflys, 13 bees, 1 crab, 6 elephants?
",314
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 13 lobsters, 3 insects, 6 tigers, 11 crickets, 1 lion, 11 ants, 6 ducks?
",320
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 12 bees, 3 woodlouses, 15 elephants?
",174
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 8 praying mantiss, 12 crickets, 8 bees, 1 jellyfish, 5 humans, 3 insects, 3 giraffes, 4 lobsters, 3 flatworms, 12 crabs?
",368
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 3 ants, 3 shrimps, 12 deers, 14 praying mantiss, 4 jellyfishs?
",180
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 5 crabs, 9 cockroachs, 11 leechs, 11 chickens?
",126
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 5 wasps, 2 sea slugs, 15 cows, 6 cockroachs, 13 ants?
",204
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 14 fireflys, 10 sea slugs, 9 wasps, 8 insects, 15 snakes, 8 grasshoppers, 6 ants?
",270
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 4 leechs, 4 lobsters, 5 grasshoppers, 8 cows, 6 chickens, 13 crickets, 14 ducks, 3 giraffes?
",232
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 1 bee, 11 cows, 10 sea slugs, 5 birds?
",60
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 10 fireflys, 8 shrimps, 13 chickens, 11 lions, 4 leechs, 4 cows?
",226
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 6 cats, 14 shrimps, 14 giraffes, 9 elephants, 15 deers, 2 woodlouses, 7 cockroachs?
",386
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 7 elephants, 2 flatworms, 6 sea slugs, 4 cows, 14 woodlouses, 8 crabs?
",320
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 13 humans, 15 sheeps, 3 horses?
",98
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 15 fireflys, 5 wasps, 14 leechs, 5 sea slugs, 7 crickets, 14 birds, 2 deers?
",198
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 12 bees, 9 flatworms, 8 chickens, 14 cows, 11 woodlouses, 7 dogs?
",326
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 5 starfishs, 1 tiger, 4 grasshoppers, 12 bees, 9 flatworms, 14 birds, 4 beetles?
",177
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 9 butterflys, 15 cows, 13 ducks?
",140
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 4 starfishs, 9 praying mantiss, 6 insects, 12 butterflys?
",182
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 7 horses, 5 praying mantiss, 14 flatworms, 3 cows, 3 humans?
",76
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 14 ants, 10 flatworms, 8 snakes, 15 beetles, 1 human, 15 starfishs, 3 dogs, 6 leechs?
",263
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 15 flatworms, 6 grasshoppers, 6 ducks, 4 starfishs?
",68
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 14 snakes, 2 shrimps, 2 cockroachs, 6 insects?
",68
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 1 deer, 12 butterflys, 1 shrimp, 3 praying mantiss, 3 grasshoppers, 7 giraffes, 12 lobsters, 4 beetles, 9 elephants, 2 scorpions?
",346
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 7 flatworms, 6 starfishs, 2 cats, 5 grasshoppers, 12 cows, 4 sea slugs, 2 ants, 15 chickens, 1 elephant?
",162
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 10 dogs, 9 humans, 6 crabs, 15 sea slugs, 5 sheeps, 15 wasps, 6 cats, 9 jellyfishs?
",252
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 15 lobsters, 3 crabs, 3 scorpions, 1 shrimp, 11 dogs, 2 cats, 10 chickens, 3 jellyfishs, 13 bees?
",364
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 14 woodlouses, 14 sheeps, 4 crabs, 2 praying mantiss, 3 lions, 5 starfishs, 9 fireflys, 3 jellyfishs, 6 birds?
",407
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 1 cricket, 13 ducks, 6 praying mantiss, 2 starfishs, 6 lobsters, 4 horses, 1 firefly, 5 flatworms, 15 cats, 14 dogs?
",276
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 12 grasshoppers, 4 lobsters, 1 human, 6 tigers, 8 cows, 15 elephants, 1 lion?
",234
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 4 tigers, 4 chickens, 11 snakes, 2 jellyfishs, 2 scorpions, 5 elephants, 9 cows, 10 grasshoppers?
",156
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 4 cockroachs, 11 insects, 2 jellyfishs, 11 birds, 5 praying mantiss?
",142
